Symptom,Prompt Template,Follow-Up Questions,LikelyDiagnosis,Urgency Level,Treatment,TreatmentQuestion
symptom_11,What details can you share about symptom_11 in a {child_age} year old {gender} child?,How long has the symptom_11 been present?; Has it worsened recently?,Diagnosis_11_A; Diagnosis_11_B,medium,"Standard care for symptom_11 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_11, likely diagnosed with Diagnosis_11_A?"
symptom_12,What details can you share about symptom_12 in a {child_age} year old {gender} child?,How long has the symptom_12 been present?; Has it worsened recently?,Diagnosis_12_A; Diagnosis_12_B,medium,"Standard care for symptom_12 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_12, likely diagnosed with Diagnosis_12_A?"
symptom_13,What details can you share about symptom_13 in a {child_age} year old {gender} child?,How long has the symptom_13 been present?; Has it worsened recently?,Diagnosis_13_A; Diagnosis_13_B,medium,"Standard care for symptom_13 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_13, likely diagnosed with Diagnosis_13_A?"
symptom_14,What details can you share about symptom_14 in a {child_age} year old {gender} child?,How long has the symptom_14 been present?; Has it worsened recently?,Diagnosis_14_A; Diagnosis_14_B,medium,"Standard care for symptom_14 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_14, likely diagnosed with Diagnosis_14_A?"
symptom_15,What details can you share about symptom_15 in a {child_age} year old {gender} child?,How long has the symptom_15 been present?; Has it worsened recently?,Diagnosis_15_A; Diagnosis_15_B,medium,"Standard care for symptom_15 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_15, likely diagnosed with Diagnosis_15_A?"
symptom_16,What details can you share about symptom_16 in a {child_age} year old {gender} child?,How long has the symptom_16 been present?; Has it worsened recently?,Diagnosis_16_A; Diagnosis_16_B,medium,"Standard care for symptom_16 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_16, likely diagnosed with Diagnosis_16_A?"
symptom_17,What details can you share about symptom_17 in a {child_age} year old {gender} child?,How long has the symptom_17 been present?; Has it worsened recently?,Diagnosis_17_A; Diagnosis_17_B,medium,"Standard care for symptom_17 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_17, likely diagnosed with Diagnosis_17_A?"
symptom_18,What details can you share about symptom_18 in a {child_age} year old {gender} child?,How long has the symptom_18 been present?; Has it worsened recently?,Diagnosis_18_A; Diagnosis_18_B,medium,"Standard care for symptom_18 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_18, likely diagnosed with Diagnosis_18_A?"
symptom_19,What details can you share about symptom_19 in a {child_age} year old {gender} child?,How long has the symptom_19 been present?; Has it worsened recently?,Diagnosis_19_A; Diagnosis_19_B,medium,"Standard care for symptom_19 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_19, likely diagnosed with Diagnosis_19_A?"
symptom_20,What details can you share about symptom_20 in a {child_age} year old {gender} child?,How long has the symptom_20 been present?; Has it worsened recently?,Diagnosis_20_A; Diagnosis_20_B,medium,"Standard care for symptom_20 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_20, likely diagnosed with Diagnosis_20_A?"
symptom_21,What details can you share about symptom_21 in a {child_age} year old {gender} child?,How long has the symptom_21 been present?; Has it worsened recently?,Diagnosis_21_A; Diagnosis_21_B,medium,"Standard care for symptom_21 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_21, likely diagnosed with Diagnosis_21_A?"
symptom_22,What details can you share about symptom_22 in a {child_age} year old {gender} child?,How long has the symptom_22 been present?; Has it worsened recently?,Diagnosis_22_A; Diagnosis_22_B,medium,"Standard care for symptom_22 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_22, likely diagnosed with Diagnosis_22_A?"
symptom_23,What details can you share about symptom_23 in a {child_age} year old {gender} child?,How long has the symptom_23 been present?; Has it worsened recently?,Diagnosis_23_A; Diagnosis_23_B,medium,"Standard care for symptom_23 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_23, likely diagnosed with Diagnosis_23_A?"
symptom_24,What details can you share about symptom_24 in a {child_age} year old {gender} child?,How long has the symptom_24 been present?; Has it worsened recently?,Diagnosis_24_A; Diagnosis_24_B,medium,"Standard care for symptom_24 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_24, likely diagnosed with Diagnosis_24_A?"
symptom_25,What details can you share about symptom_25 in a {child_age} year old {gender} child?,How long has the symptom_25 been present?; Has it worsened recently?,Diagnosis_25_A; Diagnosis_25_B,medium,"Standard care for symptom_25 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_25, likely diagnosed with Diagnosis_25_A?"
symptom_26,What details can you share about symptom_26 in a {child_age} year old {gender} child?,How long has the symptom_26 been present?; Has it worsened recently?,Diagnosis_26_A; Diagnosis_26_B,medium,"Standard care for symptom_26 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_26, likely diagnosed with Diagnosis_26_A?"
symptom_27,What details can you share about symptom_27 in a {child_age} year old {gender} child?,How long has the symptom_27 been present?; Has it worsened recently?,Diagnosis_27_A; Diagnosis_27_B,medium,"Standard care for symptom_27 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_27, likely diagnosed with Diagnosis_27_A?"
symptom_28,What details can you share about symptom_28 in a {child_age} year old {gender} child?,How long has the symptom_28 been present?; Has it worsened recently?,Diagnosis_28_A; Diagnosis_28_B,medium,"Standard care for symptom_28 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_28, likely diagnosed with Diagnosis_28_A?"
symptom_29,What details can you share about symptom_29 in a {child_age} year old {gender} child?,How long has the symptom_29 been present?; Has it worsened recently?,Diagnosis_29_A; Diagnosis_29_B,medium,"Standard care for symptom_29 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_29, likely diagnosed with Diagnosis_29_A?"
symptom_30,What details can you share about symptom_30 in a {child_age} year old {gender} child?,How long has the symptom_30 been present?; Has it worsened recently?,Diagnosis_30_A; Diagnosis_30_B,medium,"Standard care for symptom_30 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_30, likely diagnosed with Diagnosis_30_A?"
symptom_31,What details can you share about symptom_31 in a {child_age} year old {gender} child?,How long has the symptom_31 been present?; Has it worsened recently?,Diagnosis_31_A; Diagnosis_31_B,medium,"Standard care for symptom_31 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_31, likely diagnosed with Diagnosis_31_A?"
symptom_32,What details can you share about symptom_32 in a {child_age} year old {gender} child?,How long has the symptom_32 been present?; Has it worsened recently?,Diagnosis_32_A; Diagnosis_32_B,medium,"Standard care for symptom_32 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_32, likely diagnosed with Diagnosis_32_A?"
symptom_33,What details can you share about symptom_33 in a {child_age} year old {gender} child?,How long has the symptom_33 been present?; Has it worsened recently?,Diagnosis_33_A; Diagnosis_33_B,medium,"Standard care for symptom_33 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_33, likely diagnosed with Diagnosis_33_A?"
symptom_34,What details can you share about symptom_34 in a {child_age} year old {gender} child?,How long has the symptom_34 been present?; Has it worsened recently?,Diagnosis_34_A; Diagnosis_34_B,medium,"Standard care for symptom_34 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_34, likely diagnosed with Diagnosis_34_A?"
symptom_35,What details can you share about symptom_35 in a {child_age} year old {gender} child?,How long has the symptom_35 been present?; Has it worsened recently?,Diagnosis_35_A; Diagnosis_35_B,medium,"Standard care for symptom_35 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_35, likely diagnosed with Diagnosis_35_A?"
symptom_36,What details can you share about symptom_36 in a {child_age} year old {gender} child?,How long has the symptom_36 been present?; Has it worsened recently?,Diagnosis_36_A; Diagnosis_36_B,medium,"Standard care for symptom_36 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_36, likely diagnosed with Diagnosis_36_A?"
symptom_37,What details can you share about symptom_37 in a {child_age} year old {gender} child?,How long has the symptom_37 been present?; Has it worsened recently?,Diagnosis_37_A; Diagnosis_37_B,medium,"Standard care for symptom_37 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_37, likely diagnosed with Diagnosis_37_A?"
symptom_38,What details can you share about symptom_38 in a {child_age} year old {gender} child?,How long has the symptom_38 been present?; Has it worsened recently?,Diagnosis_38_A; Diagnosis_38_B,medium,"Standard care for symptom_38 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_38, likely diagnosed with Diagnosis_38_A?"
symptom_39,What details can you share about symptom_39 in a {child_age} year old {gender} child?,How long has the symptom_39 been present?; Has it worsened recently?,Diagnosis_39_A; Diagnosis_39_B,medium,"Standard care for symptom_39 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_39, likely diagnosed with Diagnosis_39_A?"
symptom_40,What details can you share about symptom_40 in a {child_age} year old {gender} child?,How long has the symptom_40 been present?; Has it worsened recently?,Diagnosis_40_A; Diagnosis_40_B,medium,"Standard care for symptom_40 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_40, likely diagnosed with Diagnosis_40_A?"
symptom_41,What details can you share about symptom_41 in a {child_age} year old {gender} child?,How long has the symptom_41 been present?; Has it worsened recently?,Diagnosis_41_A; Diagnosis_41_B,medium,"Standard care for symptom_41 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_41, likely diagnosed with Diagnosis_41_A?"
symptom_42,What details can you share about symptom_42 in a {child_age} year old {gender} child?,How long has the symptom_42 been present?; Has it worsened recently?,Diagnosis_42_A; Diagnosis_42_B,medium,"Standard care for symptom_42 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_42, likely diagnosed with Diagnosis_42_A?"
symptom_43,What details can you share about symptom_43 in a {child_age} year old {gender} child?,How long has the symptom_43 been present?; Has it worsened recently?,Diagnosis_43_A; Diagnosis_43_B,medium,"Standard care for symptom_43 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_43, likely diagnosed with Diagnosis_43_A?"
symptom_44,What details can you share about symptom_44 in a {child_age} year old {gender} child?,How long has the symptom_44 been present?; Has it worsened recently?,Diagnosis_44_A; Diagnosis_44_B,medium,"Standard care for symptom_44 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_44, likely diagnosed with Diagnosis_44_A?"
symptom_45,What details can you share about symptom_45 in a {child_age} year old {gender} child?,How long has the symptom_45 been present?; Has it worsened recently?,Diagnosis_45_A; Diagnosis_45_B,medium,"Standard care for symptom_45 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_45, likely diagnosed with Diagnosis_45_A?"
symptom_46,What details can you share about symptom_46 in a {child_age} year old {gender} child?,How long has the symptom_46 been present?; Has it worsened recently?,Diagnosis_46_A; Diagnosis_46_B,medium,"Standard care for symptom_46 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_46, likely diagnosed with Diagnosis_46_A?"
symptom_47,What details can you share about symptom_47 in a {child_age} year old {gender} child?,How long has the symptom_47 been present?; Has it worsened recently?,Diagnosis_47_A; Diagnosis_47_B,medium,"Standard care for symptom_47 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_47, likely diagnosed with Diagnosis_47_A?"
symptom_48,What details can you share about symptom_48 in a {child_age} year old {gender} child?,How long has the symptom_48 been present?; Has it worsened recently?,Diagnosis_48_A; Diagnosis_48_B,medium,"Standard care for symptom_48 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_48, likely diagnosed with Diagnosis_48_A?"
symptom_49,What details can you share about symptom_49 in a {child_age} year old {gender} child?,How long has the symptom_49 been present?; Has it worsened recently?,Diagnosis_49_A; Diagnosis_49_B,medium,"Standard care for symptom_49 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_49, likely diagnosed with Diagnosis_49_A?"
symptom_50,What details can you share about symptom_50 in a {child_age} year old {gender} child?,How long has the symptom_50 been present?; Has it worsened recently?,Diagnosis_50_A; Diagnosis_50_B,medium,"Standard care for symptom_50 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_50, likely diagnosed with Diagnosis_50_A?"
symptom_51,What details can you share about symptom_51 in a {child_age} year old {gender} child?,How long has the symptom_51 been present?; Has it worsened recently?,Diagnosis_51_A; Diagnosis_51_B,medium,"Standard care for symptom_51 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_51, likely diagnosed with Diagnosis_51_A?"
symptom_52,What details can you share about symptom_52 in a {child_age} year old {gender} child?,How long has the symptom_52 been present?; Has it worsened recently?,Diagnosis_52_A; Diagnosis_52_B,medium,"Standard care for symptom_52 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_52, likely diagnosed with Diagnosis_52_A?"
symptom_53,What details can you share about symptom_53 in a {child_age} year old {gender} child?,How long has the symptom_53 been present?; Has it worsened recently?,Diagnosis_53_A; Diagnosis_53_B,medium,"Standard care for symptom_53 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_53, likely diagnosed with Diagnosis_53_A?"
symptom_54,What details can you share about symptom_54 in a {child_age} year old {gender} child?,How long has the symptom_54 been present?; Has it worsened recently?,Diagnosis_54_A; Diagnosis_54_B,medium,"Standard care for symptom_54 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_54, likely diagnosed with Diagnosis_54_A?"
symptom_55,What details can you share about symptom_55 in a {child_age} year old {gender} child?,How long has the symptom_55 been present?; Has it worsened recently?,Diagnosis_55_A; Diagnosis_55_B,medium,"Standard care for symptom_55 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_55, likely diagnosed with Diagnosis_55_A?"
symptom_56,What details can you share about symptom_56 in a {child_age} year old {gender} child?,How long has the symptom_56 been present?; Has it worsened recently?,Diagnosis_56_A; Diagnosis_56_B,medium,"Standard care for symptom_56 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_56, likely diagnosed with Diagnosis_56_A?"
symptom_57,What details can you share about symptom_57 in a {child_age} year old {gender} child?,How long has the symptom_57 been present?; Has it worsened recently?,Diagnosis_57_A; Diagnosis_57_B,medium,"Standard care for symptom_57 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_57, likely diagnosed with Diagnosis_57_A?"
symptom_58,What details can you share about symptom_58 in a {child_age} year old {gender} child?,How long has the symptom_58 been present?; Has it worsened recently?,Diagnosis_58_A; Diagnosis_58_B,medium,"Standard care for symptom_58 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_58, likely diagnosed with Diagnosis_58_A?"
symptom_59,What details can you share about symptom_59 in a {child_age} year old {gender} child?,How long has the symptom_59 been present?; Has it worsened recently?,Diagnosis_59_A; Diagnosis_59_B,medium,"Standard care for symptom_59 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_59, likely diagnosed with Diagnosis_59_A?"
symptom_60,What details can you share about symptom_60 in a {child_age} year old {gender} child?,How long has the symptom_60 been present?; Has it worsened recently?,Diagnosis_60_A; Diagnosis_60_B,medium,"Standard care for symptom_60 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_60, likely diagnosed with Diagnosis_60_A?"
symptom_61,What details can you share about symptom_61 in a {child_age} year old {gender} child?,How long has the symptom_61 been present?; Has it worsened recently?,Diagnosis_61_A; Diagnosis_61_B,medium,"Standard care for symptom_61 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_61, likely diagnosed with Diagnosis_61_A?"
symptom_62,What details can you share about symptom_62 in a {child_age} year old {gender} child?,How long has the symptom_62 been present?; Has it worsened recently?,Diagnosis_62_A; Diagnosis_62_B,medium,"Standard care for symptom_62 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_62, likely diagnosed with Diagnosis_62_A?"
symptom_63,What details can you share about symptom_63 in a {child_age} year old {gender} child?,How long has the symptom_63 been present?; Has it worsened recently?,Diagnosis_63_A; Diagnosis_63_B,medium,"Standard care for symptom_63 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_63, likely diagnosed with Diagnosis_63_A?"
symptom_64,What details can you share about symptom_64 in a {child_age} year old {gender} child?,How long has the symptom_64 been present?; Has it worsened recently?,Diagnosis_64_A; Diagnosis_64_B,medium,"Standard care for symptom_64 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_64, likely diagnosed with Diagnosis_64_A?"
symptom_65,What details can you share about symptom_65 in a {child_age} year old {gender} child?,How long has the symptom_65 been present?; Has it worsened recently?,Diagnosis_65_A; Diagnosis_65_B,medium,"Standard care for symptom_65 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_65, likely diagnosed with Diagnosis_65_A?"
symptom_66,What details can you share about symptom_66 in a {child_age} year old {gender} child?,How long has the symptom_66 been present?; Has it worsened recently?,Diagnosis_66_A; Diagnosis_66_B,medium,"Standard care for symptom_66 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_66, likely diagnosed with Diagnosis_66_A?"
symptom_67,What details can you share about symptom_67 in a {child_age} year old {gender} child?,How long has the symptom_67 been present?; Has it worsened recently?,Diagnosis_67_A; Diagnosis_67_B,medium,"Standard care for symptom_67 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_67, likely diagnosed with Diagnosis_67_A?"
symptom_68,What details can you share about symptom_68 in a {child_age} year old {gender} child?,How long has the symptom_68 been present?; Has it worsened recently?,Diagnosis_68_A; Diagnosis_68_B,medium,"Standard care for symptom_68 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_68, likely diagnosed with Diagnosis_68_A?"
symptom_69,What details can you share about symptom_69 in a {child_age} year old {gender} child?,How long has the symptom_69 been present?; Has it worsened recently?,Diagnosis_69_A; Diagnosis_69_B,medium,"Standard care for symptom_69 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_69, likely diagnosed with Diagnosis_69_A?"
symptom_70,What details can you share about symptom_70 in a {child_age} year old {gender} child?,How long has the symptom_70 been present?; Has it worsened recently?,Diagnosis_70_A; Diagnosis_70_B,medium,"Standard care for symptom_70 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_70, likely diagnosed with Diagnosis_70_A?"
symptom_71,What details can you share about symptom_71 in a {child_age} year old {gender} child?,How long has the symptom_71 been present?; Has it worsened recently?,Diagnosis_71_A; Diagnosis_71_B,medium,"Standard care for symptom_71 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_71, likely diagnosed with Diagnosis_71_A?"
symptom_72,What details can you share about symptom_72 in a {child_age} year old {gender} child?,How long has the symptom_72 been present?; Has it worsened recently?,Diagnosis_72_A; Diagnosis_72_B,medium,"Standard care for symptom_72 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_72, likely diagnosed with Diagnosis_72_A?"
symptom_73,What details can you share about symptom_73 in a {child_age} year old {gender} child?,How long has the symptom_73 been present?; Has it worsened recently?,Diagnosis_73_A; Diagnosis_73_B,medium,"Standard care for symptom_73 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_73, likely diagnosed with Diagnosis_73_A?"
symptom_74,What details can you share about symptom_74 in a {child_age} year old {gender} child?,How long has the symptom_74 been present?; Has it worsened recently?,Diagnosis_74_A; Diagnosis_74_B,medium,"Standard care for symptom_74 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_74, likely diagnosed with Diagnosis_74_A?"
symptom_75,What details can you share about symptom_75 in a {child_age} year old {gender} child?,How long has the symptom_75 been present?; Has it worsened recently?,Diagnosis_75_A; Diagnosis_75_B,medium,"Standard care for symptom_75 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_75, likely diagnosed with Diagnosis_75_A?"
symptom_76,What details can you share about symptom_76 in a {child_age} year old {gender} child?,How long has the symptom_76 been present?; Has it worsened recently?,Diagnosis_76_A; Diagnosis_76_B,medium,"Standard care for symptom_76 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_76, likely diagnosed with Diagnosis_76_A?"
symptom_77,What details can you share about symptom_77 in a {child_age} year old {gender} child?,How long has the symptom_77 been present?; Has it worsened recently?,Diagnosis_77_A; Diagnosis_77_B,medium,"Standard care for symptom_77 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_77, likely diagnosed with Diagnosis_77_A?"
symptom_78,What details can you share about symptom_78 in a {child_age} year old {gender} child?,How long has the symptom_78 been present?; Has it worsened recently?,Diagnosis_78_A; Diagnosis_78_B,medium,"Standard care for symptom_78 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_78, likely diagnosed with Diagnosis_78_A?"
symptom_79,What details can you share about symptom_79 in a {child_age} year old {gender} child?,How long has the symptom_79 been present?; Has it worsened recently?,Diagnosis_79_A; Diagnosis_79_B,medium,"Standard care for symptom_79 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_79, likely diagnosed with Diagnosis_79_A?"
symptom_80,What details can you share about symptom_80 in a {child_age} year old {gender} child?,How long has the symptom_80 been present?; Has it worsened recently?,Diagnosis_80_A; Diagnosis_80_B,medium,"Standard care for symptom_80 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_80, likely diagnosed with Diagnosis_80_A?"
symptom_81,What details can you share about symptom_81 in a {child_age} year old {gender} child?,How long has the symptom_81 been present?; Has it worsened recently?,Diagnosis_81_A; Diagnosis_81_B,medium,"Standard care for symptom_81 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_81, likely diagnosed with Diagnosis_81_A?"
symptom_82,What details can you share about symptom_82 in a {child_age} year old {gender} child?,How long has the symptom_82 been present?; Has it worsened recently?,Diagnosis_82_A; Diagnosis_82_B,medium,"Standard care for symptom_82 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_82, likely diagnosed with Diagnosis_82_A?"
symptom_83,What details can you share about symptom_83 in a {child_age} year old {gender} child?,How long has the symptom_83 been present?; Has it worsened recently?,Diagnosis_83_A; Diagnosis_83_B,medium,"Standard care for symptom_83 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_83, likely diagnosed with Diagnosis_83_A?"
symptom_84,What details can you share about symptom_84 in a {child_age} year old {gender} child?,How long has the symptom_84 been present?; Has it worsened recently?,Diagnosis_84_A; Diagnosis_84_B,medium,"Standard care for symptom_84 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_84, likely diagnosed with Diagnosis_84_A?"
symptom_85,What details can you share about symptom_85 in a {child_age} year old {gender} child?,How long has the symptom_85 been present?; Has it worsened recently?,Diagnosis_85_A; Diagnosis_85_B,medium,"Standard care for symptom_85 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_85, likely diagnosed with Diagnosis_85_A?"
symptom_86,What details can you share about symptom_86 in a {child_age} year old {gender} child?,How long has the symptom_86 been present?; Has it worsened recently?,Diagnosis_86_A; Diagnosis_86_B,medium,"Standard care for symptom_86 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_86, likely diagnosed with Diagnosis_86_A?"
symptom_87,What details can you share about symptom_87 in a {child_age} year old {gender} child?,How long has the symptom_87 been present?; Has it worsened recently?,Diagnosis_87_A; Diagnosis_87_B,medium,"Standard care for symptom_87 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_87, likely diagnosed with Diagnosis_87_A?"
symptom_88,What details can you share about symptom_88 in a {child_age} year old {gender} child?,How long has the symptom_88 been present?; Has it worsened recently?,Diagnosis_88_A; Diagnosis_88_B,medium,"Standard care for symptom_88 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_88, likely diagnosed with Diagnosis_88_A?"
symptom_89,What details can you share about symptom_89 in a {child_age} year old {gender} child?,How long has the symptom_89 been present?; Has it worsened recently?,Diagnosis_89_A; Diagnosis_89_B,medium,"Standard care for symptom_89 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_89, likely diagnosed with Diagnosis_89_A?"
symptom_90,What details can you share about symptom_90 in a {child_age} year old {gender} child?,How long has the symptom_90 been present?; Has it worsened recently?,Diagnosis_90_A; Diagnosis_90_B,medium,"Standard care for symptom_90 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_90, likely diagnosed with Diagnosis_90_A?"
symptom_91,What details can you share about symptom_91 in a {child_age} year old {gender} child?,How long has the symptom_91 been present?; Has it worsened recently?,Diagnosis_91_A; Diagnosis_91_B,medium,"Standard care for symptom_91 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_91, likely diagnosed with Diagnosis_91_A?"
