Symptom,Prompt Template,Follow-Up Questions,Likely Diagnosis,Urgency Level,Suggested Treatment,Treatment Questions
symptom_55,What details can you share about symptom_55 in a {child_age} year old {gender} child?,How long has the symptom_55 been present?; Has it worsened recently?,Diagnosis_55_A; Diagnosis_55_B,medium,"Standard care for symptom_55 includes hydration, rest, and observation.",What are the best treatment options for symptom_55?; When should a doctor be consulted for symptom_55?
symptom_56,What details can you share about symptom_56 in a {child_age} year old {gender} child?,How long has the symptom_56 been present?; Has it worsened recently?,Diagnosis_56_A; Diagnosis_56_B,medium,"Standard care for symptom_56 includes hydration, rest, and observation.",What are the best treatment options for symptom_56?; When should a doctor be consulted for symptom_56?
symptom_57,What details can you share about symptom_57 in a {child_age} year old {gender} child?,How long has the symptom_57 been present?; Has it worsened recently?,Diagnosis_57_A; Diagnosis_57_B,medium,"Standard care for symptom_57 includes hydration, rest, and observation.",What are the best treatment options for symptom_57?; When should a doctor be consulted for symptom_57?
symptom_58,What details can you share about symptom_58 in a {child_age} year old {gender} child?,How long has the symptom_58 been present?; Has it worsened recently?,Diagnosis_58_A; Diagnosis_58_B,medium,"Standard care for symptom_58 includes hydration, rest, and observation.",What are the best treatment options for symptom_58?; When should a doctor be consulted for symptom_58?
symptom_59,What details can you share about symptom_59 in a {child_age} year old {gender} child?,How long has the symptom_59 been present?; Has it worsened recently?,Diagnosis_59_A; Diagnosis_59_B,medium,"Standard care for symptom_59 includes hydration, rest, and observation.",What are the best treatment options for symptom_59?; When should a doctor be consulted for symptom_59?
symptom_60,What details can you share about symptom_60 in a {child_age} year old {gender} child?,How long has the symptom_60 been present?; Has it worsened recently?,Diagnosis_60_A; Diagnosis_60_B,medium,"Standard care for symptom_60 includes hydration, rest, and observation.",What are the best treatment options for symptom_60?; When should a doctor be consulted for symptom_60?
symptom_61,What details can you share about symptom_61 in a {child_age} year old {gender} child?,How long has the symptom_61 been present?; Has it worsened recently?,Diagnosis_61_A; Diagnosis_61_B,medium,"Standard care for symptom_61 includes hydration, rest, and observation.",What are the best treatment options for symptom_61?; When should a doctor be consulted for symptom_61?
symptom_62,What details can you share about symptom_62 in a {child_age} year old {gender} child?,How long has the symptom_62 been present?; Has it worsened recently?,Diagnosis_62_A; Diagnosis_62_B,medium,"Standard care for symptom_62 includes hydration, rest, and observation.",What are the best treatment options for symptom_62?; When should a doctor be consulted for symptom_62?
symptom_63,What details can you share about symptom_63 in a {child_age} year old {gender} child?,How long has the symptom_63 been present?; Has it worsened recently?,Diagnosis_63_A; Diagnosis_63_B,medium,"Standard care for symptom_63 includes hydration, rest, and observation.",What are the best treatment options for symptom_63?; When should a doctor be consulted for symptom_63?
symptom_64,What details can you share about symptom_64 in a {child_age} year old {gender} child?,How long has the symptom_64 been present?; Has it worsened recently?,Diagnosis_64_A; Diagnosis_64_B,medium,"Standard care for symptom_64 includes hydration, rest, and observation.",What are the best treatment options for symptom_64?; When should a doctor be consulted for symptom_64?
symptom_65,What details can you share about symptom_65 in a {child_age} year old {gender} child?,How long has the symptom_65 been present?; Has it worsened recently?,Diagnosis_65_A; Diagnosis_65_B,medium,"Standard care for symptom_65 includes hydration, rest, and observation.",What are the best treatment options for symptom_65?; When should a doctor be consulted for symptom_65?
symptom_66,What details can you share about symptom_66 in a {child_age} year old {gender} child?,How long has the symptom_66 been present?; Has it worsened recently?,Diagnosis_66_A; Diagnosis_66_B,medium,"Standard care for symptom_66 includes hydration, rest, and observation.",What are the best treatment options for symptom_66?; When should a doctor be consulted for symptom_66?
symptom_67,What details can you share about symptom_67 in a {child_age} year old {gender} child?,How long has the symptom_67 been present?; Has it worsened recently?,Diagnosis_67_A; Diagnosis_67_B,medium,"Standard care for symptom_67 includes hydration, rest, and observation.",What are the best treatment options for symptom_67?; When should a doctor be consulted for symptom_67?
symptom_68,What details can you share about symptom_68 in a {child_age} year old {gender} child?,How long has the symptom_68 been present?; Has it worsened recently?,Diagnosis_68_A; Diagnosis_68_B,medium,"Standard care for symptom_68 includes hydration, rest, and observation.",What are the best treatment options for symptom_68?; When should a doctor be consulted for symptom_68?
symptom_69,What details can you share about symptom_69 in a {child_age} year old {gender} child?,How long has the symptom_69 been present?; Has it worsened recently?,Diagnosis_69_A; Diagnosis_69_B,medium,"Standard care for symptom_69 includes hydration, rest, and observation.",What are the best treatment options for symptom_69?; When should a doctor be consulted for symptom_69?
symptom_70,What details can you share about symptom_70 in a {child_age} year old {gender} child?,How long has the symptom_70 been present?; Has it worsened recently?,Diagnosis_70_A; Diagnosis_70_B,medium,"Standard care for symptom_70 includes hydration, rest, and observation.",What are the best treatment options for symptom_70?; When should a doctor be consulted for symptom_70?
symptom_71,What details can you share about symptom_71 in a {child_age} year old {gender} child?,How long has the symptom_71 been present?; Has it worsened recently?,Diagnosis_71_A; Diagnosis_71_B,medium,"Standard care for symptom_71 includes hydration, rest, and observation.",What are the best treatment options for symptom_71?; When should a doctor be consulted for symptom_71?
symptom_72,What details can you share about symptom_72 in a {child_age} year old {gender} child?,How long has the symptom_72 been present?; Has it worsened recently?,Diagnosis_72_A; Diagnosis_72_B,medium,"Standard care for symptom_72 includes hydration, rest, and observation.",What are the best treatment options for symptom_72?; When should a doctor be consulted for symptom_72?
symptom_73,What details can you share about symptom_73 in a {child_age} year old {gender} child?,How long has the symptom_73 been present?; Has it worsened recently?,Diagnosis_73_A; Diagnosis_73_B,medium,"Standard care for symptom_73 includes hydration, rest, and observation.",What are the best treatment options for symptom_73?; When should a doctor be consulted for symptom_73?
symptom_74,What details can you share about symptom_74 in a {child_age} year old {gender} child?,How long has the symptom_74 been present?; Has it worsened recently?,Diagnosis_74_A; Diagnosis_74_B,medium,"Standard care for symptom_74 includes hydration, rest, and observation.",What are the best treatment options for symptom_74?; When should a doctor be consulted for symptom_74?
symptom_75,What details can you share about symptom_75 in a {child_age} year old {gender} child?,How long has the symptom_75 been present?; Has it worsened recently?,Diagnosis_75_A; Diagnosis_75_B,medium,"Standard care for symptom_75 includes hydration, rest, and observation.",What are the best treatment options for symptom_75?; When should a doctor be consulted for symptom_75?
symptom_76,What details can you share about symptom_76 in a {child_age} year old {gender} child?,How long has the symptom_76 been present?; Has it worsened recently?,Diagnosis_76_A; Diagnosis_76_B,medium,"Standard care for symptom_76 includes hydration, rest, and observation.",What are the best treatment options for symptom_76?; When should a doctor be consulted for symptom_76?
symptom_77,What details can you share about symptom_77 in a {child_age} year old {gender} child?,How long has the symptom_77 been present?; Has it worsened recently?,Diagnosis_77_A; Diagnosis_77_B,medium,"Standard care for symptom_77 includes hydration, rest, and observation.",What are the best treatment options for symptom_77?; When should a doctor be consulted for symptom_77?
symptom_78,What details can you share about symptom_78 in a {child_age} year old {gender} child?,How long has the symptom_78 been present?; Has it worsened recently?,Diagnosis_78_A; Diagnosis_78_B,medium,"Standard care for symptom_78 includes hydration, rest, and observation.",What are the best treatment options for symptom_78?; When should a doctor be consulted for symptom_78?
symptom_79,What details can you share about symptom_79 in a {child_age} year old {gender} child?,How long has the symptom_79 been present?; Has it worsened recently?,Diagnosis_79_A; Diagnosis_79_B,medium,"Standard care for symptom_79 includes hydration, rest, and observation.",What are the best treatment options for symptom_79?; When should a doctor be consulted for symptom_79?
symptom_80,What details can you share about symptom_80 in a {child_age} year old {gender} child?,How long has the symptom_80 been present?; Has it worsened recently?,Diagnosis_80_A; Diagnosis_80_B,medium,"Standard care for symptom_80 includes hydration, rest, and observation.",What are the best treatment options for symptom_80?; When should a doctor be consulted for symptom_80?
symptom_81,What details can you share about symptom_81 in a {child_age} year old {gender} child?,How long has the symptom_81 been present?; Has it worsened recently?,Diagnosis_81_A; Diagnosis_81_B,medium,"Standard care for symptom_81 includes hydration, rest, and observation.",What are the best treatment options for symptom_81?; When should a doctor be consulted for symptom_81?
symptom_82,What details can you share about symptom_82 in a {child_age} year old {gender} child?,How long has the symptom_82 been present?; Has it worsened recently?,Diagnosis_82_A; Diagnosis_82_B,medium,"Standard care for symptom_82 includes hydration, rest, and observation.",What are the best treatment options for symptom_82?; When should a doctor be consulted for symptom_82?
symptom_83,What details can you share about symptom_83 in a {child_age} year old {gender} child?,How long has the symptom_83 been present?; Has it worsened recently?,Diagnosis_83_A; Diagnosis_83_B,medium,"Standard care for symptom_83 includes hydration, rest, and observation.",What are the best treatment options for symptom_83?; When should a doctor be consulted for symptom_83?
symptom_84,What details can you share about symptom_84 in a {child_age} year old {gender} child?,How long has the symptom_84 been present?; Has it worsened recently?,Diagnosis_84_A; Diagnosis_84_B,medium,"Standard care for symptom_84 includes hydration, rest, and observation.",What are the best treatment options for symptom_84?; When should a doctor be consulted for symptom_84?
symptom_85,What details can you share about symptom_85 in a {child_age} year old {gender} child?,How long has the symptom_85 been present?; Has it worsened recently?,Diagnosis_85_A; Diagnosis_85_B,medium,"Standard care for symptom_85 includes hydration, rest, and observation.",What are the best treatment options for symptom_85?; When should a doctor be consulted for symptom_85?
symptom_86,What details can you share about symptom_86 in a {child_age} year old {gender} child?,How long has the symptom_86 been present?; Has it worsened recently?,Diagnosis_86_A; Diagnosis_86_B,medium,"Standard care for symptom_86 includes hydration, rest, and observation.",What are the best treatment options for symptom_86?; When should a doctor be consulted for symptom_86?
symptom_87,What details can you share about symptom_87 in a {child_age} year old {gender} child?,How long has the symptom_87 been present?; Has it worsened recently?,Diagnosis_87_A; Diagnosis_87_B,medium,"Standard care for symptom_87 includes hydration, rest, and observation.",What are the best treatment options for symptom_87?; When should a doctor be consulted for symptom_87?
symptom_88,What details can you share about symptom_88 in a {child_age} year old {gender} child?,How long has the symptom_88 been present?; Has it worsened recently?,Diagnosis_88_A; Diagnosis_88_B,medium,"Standard care for symptom_88 includes hydration, rest, and observation.",What are the best treatment options for symptom_88?; When should a doctor be consulted for symptom_88?
symptom_89,What details can you share about symptom_89 in a {child_age} year old {gender} child?,How long has the symptom_89 been present?; Has it worsened recently?,Diagnosis_89_A; Diagnosis_89_B,medium,"Standard care for symptom_89 includes hydration, rest, and observation.",What are the best treatment options for symptom_89?; When should a doctor be consulted for symptom_89?
symptom_90,What details can you share about symptom_90 in a {child_age} year old {gender} child?,How long has the symptom_90 been present?; Has it worsened recently?,Diagnosis_90_A; Diagnosis_90_B,medium,"Standard care for symptom_90 includes hydration, rest, and observation.",What are the best treatment options for symptom_90?; When should a doctor be consulted for symptom_90?
symptom_91,What details can you share about symptom_91 in a {child_age} year old {gender} child?,How long has the symptom_91 been present?; Has it worsened recently?,Diagnosis_91_A; Diagnosis_91_B,medium,"Standard care for symptom_91 includes hydration, rest, and observation.",What are the best treatment options for symptom_91?; When should a doctor be consulted for symptom_91?
symptom_92,What details can you share about symptom_92 in a {child_age} year old {gender} child?,How long has the symptom_92 been present?; Has it worsened recently?,Diagnosis_92_A; Diagnosis_92_B,medium,"Standard care for symptom_92 includes hydration, rest, and observation.",What are the best treatment options for symptom_92?; When should a doctor be consulted for symptom_92?
symptom_93,What details can you share about symptom_93 in a {child_age} year old {gender} child?,How long has the symptom_93 been present?; Has it worsened recently?,Diagnosis_93_A; Diagnosis_93_B,medium,"Standard care for symptom_93 includes hydration, rest, and observation.",What are the best treatment options for symptom_93?; When should a doctor be consulted for symptom_93?
symptom_94,What details can you share about symptom_94 in a {child_age} year old {gender} child?,How long has the symptom_94 been present?; Has it worsened recently?,Diagnosis_94_A; Diagnosis_94_B,medium,"Standard care for symptom_94 includes hydration, rest, and observation.",What are the best treatment options for symptom_94?; When should a doctor be consulted for symptom_94?
symptom_95,What details can you share about symptom_95 in a {child_age} year old {gender} child?,How long has the symptom_95 been present?; Has it worsened recently?,Diagnosis_95_A; Diagnosis_95_B,medium,"Standard care for symptom_95 includes hydration, rest, and observation.",What are the best treatment options for symptom_95?; When should a doctor be consulted for symptom_95?
symptom_96,What details can you share about symptom_96 in a {child_age} year old {gender} child?,How long has the symptom_96 been present?; Has it worsened recently?,Diagnosis_96_A; Diagnosis_96_B,medium,"Standard care for symptom_96 includes hydration, rest, and observation.",What are the best treatment options for symptom_96?; When should a doctor be consulted for symptom_96?
symptom_97,What details can you share about symptom_97 in a {child_age} year old {gender} child?,How long has the symptom_97 been present?; Has it worsened recently?,Diagnosis_97_A; Diagnosis_97_B,medium,"Standard care for symptom_97 includes hydration, rest, and observation.",What are the best treatment options for symptom_97?; When should a doctor be consulted for symptom_97?
