ID,Symptom,Age Group,Diagnoses,Medications,Home Care,Red Flags
symptom_61,urinary pain,4-6 years,covid-19; bronchiolitis; flu,Cetirizine; Oral Rehydration Solution,warm saltwater gargle; cool compresses,seizures; rash with fever; severe pain
symptom_62,cough,1-3 years,viral infection,Oral Rehydration Solution; Hydrocortisone cream,cool compresses; avoid allergens; warm saltwater gargle,rash with fever; loss of consciousness; projectile vomiting
symptom_63,sleep disturbance,1-3 years,otitis media; asthma,Ibuprofen; Acetaminophen,rest; cool compresses; increase fluid intake,difficulty breathing
symptom_64,constipation,13-18 years,bacterial infection; otitis media,Oral Rehydration Solution,apply moisturizer,persistent high fever; difficulty breathing
symptom_65,nasal congestion,7-12 years,gastroenteritis; UTI; sinusitis,Cetirizine,increase fluid intake,stiff neck; no urine output >8h; lethargy
symptom_66,sore throat,0-3 months,asthma; bacterial infection,Hydrocortisone cream; Oral Rehydration Solution,avoid allergens; cool compresses; frequent handwashing,stiff neck; loss of consciousness; persistent high fever
symptom_67,night sweats,13-18 years,pneumonia; asthma; covid-19,Oral Rehydration Solution,cool compresses; increase fluid intake; light clothing,difficulty breathing; seizures
symptom_68,sore throat,7-12 years,flu; appendicitis; meningitis,,humidifier,difficulty breathing; rash with fever; persistent high fever
symptom_69,urinary pain,1-3 years,gastroenteritis; UTI; pneumonia,Oral Rehydration Solution; Cetirizine,increase fluid intake,lethargy; difficulty breathing
symptom_70,joint pain,4-6 years,meningitis; tonsillitis,Acetaminophen; Amoxicillin,light clothing; warm saltwater gargle; cool compresses,no urine output >8h; severe pain; loss of consciousness
symptom_71,rash,1-3 years,gastroenteritis; eczema,Hydrocortisone cream; Azithromycin,humidifier,rash with fever
symptom_72,abdominal pain,0-3 months,meningitis; otitis media; viral infection,Cetirizine; Hydrocortisone cream,light clothing; rest; avoid allergens,difficulty breathing
symptom_73,diarrhea,1-3 years,covid-19,Cetirizine; Prednisone,cool compresses; rest,loss of consciousness; no urine output >8h; severe pain
symptom_74,ear pain,0-3 months,dehydration,Ibuprofen,apply moisturizer; light clothing; cool compresses,severe pain
symptom_75,wheezing,0-3 months,strep throat; otitis media,Cetirizine; Oral Rehydration Solution,frequent handwashing; cool compresses; apply moisturizer,severe pain
symptom_76,abdominal pain,0-3 months,strep throat; bronchiolitis,Cetirizine; Ibuprofen; Albuterol inhaler,apply moisturizer,lethargy
symptom_77,sleep disturbance,0-3 months,UTI; viral infection,Hydrocortisone cream,frequent handwashing,difficulty breathing
symptom_78,shortness of breath,1-3 years,asthma; functional abdominal pain,Ibuprofen,apply moisturizer,seizures; no urine output >8h
symptom_79,sore throat,1-3 years,dehydration; meningitis; appendicitis,Hydrocortisone cream,humidifier; rest; light clothing,no urine output >8h
symptom_80,night sweats,1-3 years,viral infection; sinusitis,Ibuprofen; Cetirizine; Prednisone,rest; cool compresses; light clothing,no urine output >8h
symptom_81,nasal congestion,4-12 months,eczema; pneumonia,,humidifier,persistent high fever; projectile vomiting
symptom_82,diarrhea,7-12 years,gastroenteritis,Cetirizine,light clothing; frequent handwashing; warm saltwater gargle,projectile vomiting; lethargy
symptom_83,abdominal pain,7-12 years,covid-19,Oral Rehydration Solution; Ibuprofen,increase fluid intake; apply moisturizer; frequent handwashing,seizures
symptom_84,abdominal pain,0-3 months,tonsillitis; gastroenteritis; strep throat,,apply moisturizer; increase fluid intake,stiff neck; severe pain; rash with fever
symptom_85,sore throat,1-3 years,dehydration; allergic reaction; tonsillitis,,apply moisturizer; increase fluid intake; light clothing,severe pain
symptom_86,sore throat,4-6 years,asthma; migraine; appendicitis,Cetirizine,frequent handwashing; warm saltwater gargle,seizures; no urine output >8h; loss of consciousness
symptom_87,constipation,4-6 years,covid-19; UTI,Azithromycin,rest; apply moisturizer; warm saltwater gargle,difficulty breathing; projectile vomiting
symptom_88,shortness of breath,0-3 months,pneumonia,Hydrocortisone cream; Oral Rehydration Solution; Amoxicillin,increase fluid intake; apply moisturizer,no urine output >8h; difficulty breathing
symptom_89,ear pain,1-3 years,tonsillitis; asthma; dehydration,Acetaminophen,light clothing; increase fluid intake; warm saltwater gargle,persistent high fever
symptom_90,urinary pain,4-12 months,covid-19,Oral Rehydration Solution; Albuterol inhaler,cool compresses,seizures; difficulty breathing; loss of consciousness
symptom_91,joint pain,4-12 months,bronchiolitis; allergic reaction; viral infection,Acetaminophen; Albuterol inhaler,humidifier; apply moisturizer; frequent handwashing,loss of consciousness
symptom_92,night sweats,4-12 months,pneumonia,Cetirizine; Hydrocortisone cream,increase fluid intake; avoid allergens,severe pain; loss of consciousness; seizures
symptom_93,sleep disturbance,1-3 years,allergic reaction,Ibuprofen; Amoxicillin,cool compresses,severe pain
symptom_94,headache,1-3 years,strep throat; otitis media; covid-19,Oral Rehydration Solution; Acetaminophen; Albuterol inhaler,cool compresses,persistent high fever; projectile vomiting
symptom_95,chest pain,0-3 months,migraine,,avoid allergens,seizures; severe pain
symptom_96,ear pain,0-3 months,gastroenteritis,,apply moisturizer; light clothing; frequent handwashing,stiff neck; no urine output >8h
symptom_97,cough,0-3 months,covid-19; bacterial infection; meningitis,Oral Rehydration Solution; Amoxicillin,cool compresses; apply moisturizer; light clothing,stiff neck
symptom_98,loss of appetite,4-6 years,gastroenteritis; asthma; dehydration,Hydrocortisone cream; Prednisone,frequent handwashing,seizures
symptom_99,shortness of breath,13-18 years,allergic reaction,Hydrocortisone cream; Albuterol inhaler,humidifier,severe pain; stiff neck
symptom_100,sleep disturbance,0-3 months,viral infection; covid-19,,avoid allergens,severe pain; projectile vomiting
symptom_101,constipation,7-12 years,eczema,,rest; light clothing; cool compresses,projectile vomiting
symptom_102,loss of appetite,1-3 years,tonsillitis; covid-19; pneumonia,Azithromycin,light clothing,persistent high fever; no urine output >8h
symptom_103,wheezing,4-6 years,appendicitis; flu; gastroenteritis,Hydrocortisone cream; Oral Rehydration Solution,cool compresses; warm saltwater gargle,lethargy
symptom_104,eye discharge,1-3 years,sinusitis; dehydration,,increase fluid intake,seizures; severe pain
symptom_105,fatigue,7-12 years,viral infection; bronchiolitis,Ibuprofen; Oral Rehydration Solution,increase fluid intake,rash with fever; seizures; no urine output >8h
symptom_106,constipation,0-3 months,eczema; asthma,Hydrocortisone cream; Ibuprofen,frequent handwashing,no urine output >8h; lethargy; stiff neck
symptom_107,sore throat,13-18 years,sinusitis,Acetaminophen,frequent handwashing,no urine output >8h; loss of consciousness; persistent high fever
symptom_108,nasal congestion,7-12 years,dehydration; strep throat; UTI,Oral Rehydration Solution; Ibuprofen,humidifier; frequent handwashing; apply moisturizer,rash with fever; severe pain
symptom_109,shortness of breath,0-3 months,bronchiolitis; strep throat; sinusitis,,frequent handwashing; cool compresses; increase fluid intake,severe pain
symptom_110,cough,1-3 years,viral infection,Ibuprofen,cool compresses,no urine output >8h; lethargy; severe pain
symptom_111,loss of appetite,7-12 years,asthma; dehydration,,cool compresses; humidifier,seizures; lethargy
symptom_112,rash,7-12 years,covid-19,Prednisone,rest,seizures; severe pain; loss of consciousness
symptom_113,chest pain,4-6 years,flu,Acetaminophen; Oral Rehydration Solution; Ondansetron,rest; increase fluid intake; humidifier,lethargy; difficulty breathing; rash with fever
symptom_114,eye discharge,13-18 years,gastroenteritis,Acetaminophen,rest,loss of consciousness; difficulty breathing; stiff neck
symptom_115,wheezing,4-6 years,meningitis,Oral Rehydration Solution; Cetirizine,cool compresses; humidifier,stiff neck; loss of consciousness
symptom_116,vomiting,1-3 years,sinusitis; bronchiolitis; strep throat,Cetirizine; Ibuprofen; Albuterol inhaler,rest; frequent handwashing; warm saltwater gargle,projectile vomiting; difficulty breathing; no urine output >8h
symptom_117,weight loss,0-3 months,allergic reaction; strep throat; UTI,Oral Rehydration Solution; Ibuprofen; Amoxicillin,light clothing,seizures; rash with fever
symptom_118,loss of appetite,13-18 years,gastroenteritis; allergic reaction; meningitis,Ibuprofen,cool compresses; warm saltwater gargle; avoid allergens,loss of consciousness
symptom_119,urinary pain,1-3 years,migraine; eczema; asthma,Oral Rehydration Solution; Azithromycin,warm saltwater gargle; light clothing; humidifier,rash with fever; no urine output >8h
symptom_120,shortness of breath,13-18 years,allergic reaction,Hydrocortisone cream; Amoxicillin,increase fluid intake; light clothing,loss of consciousness
symptom_121,wheezing,1-3 years,viral infection,Hydrocortisone cream; Cetirizine; Azithromycin,warm saltwater gargle; humidifier; avoid allergens,persistent high fever; lethargy
symptom_122,vomiting,1-3 years,strep throat,Cetirizine; Acetaminophen,apply moisturizer; avoid allergens,difficulty breathing
symptom_123,chest pain,1-3 years,UTI; migraine,Ibuprofen,rest; avoid allergens; humidifier,persistent high fever; rash with fever
symptom_124,cough,1-3 years,functional abdominal pain,Acetaminophen; Oral Rehydration Solution,rest; humidifier; avoid allergens,rash with fever; lethargy
symptom_125,shortness of breath,13-18 years,gastroenteritis; viral infection,Azithromycin,increase fluid intake; light clothing; apply moisturizer,rash with fever; projectile vomiting; seizures
symptom_126,fatigue,7-12 years,flu; asthma,Hydrocortisone cream; Cetirizine; Albuterol inhaler,increase fluid intake,rash with fever; no urine output >8h
symptom_127,constipation,13-18 years,bacterial infection,,apply moisturizer; light clothing; warm saltwater gargle,persistent high fever; rash with fever; seizures
symptom_128,limping,4-6 years,appendicitis; otitis media; flu,Cetirizine; Amoxicillin,humidifier,stiff neck
symptom_129,loss of appetite,7-12 years,dehydration; migraine; tonsillitis,Albuterol inhaler,frequent handwashing; warm saltwater gargle; rest,severe pain; projectile vomiting
symptom_130,headache,13-18 years,migraine; gastroenteritis; bronchiolitis,Ibuprofen,avoid allergens; humidifier; increase fluid intake,loss of consciousness; stiff neck; no urine output >8h
symptom_131,fatigue,13-18 years,flu; tonsillitis,,apply moisturizer; increase fluid intake; cool compresses,no urine output >8h; seizures
symptom_132,wheezing,7-12 years,bronchiolitis,Oral Rehydration Solution; Acetaminophen,warm saltwater gargle; apply moisturizer,stiff neck
symptom_133,vomiting,4-6 years,meningitis; pneumonia; allergic reaction,Acetaminophen; Oral Rehydration Solution; Albuterol inhaler,light clothing; increase fluid intake; avoid allergens,seizures; difficulty breathing; rash with fever
symptom_134,rash,4-12 months,bacterial infection; flu,Ibuprofen; Oral Rehydration Solution; Albuterol inhaler,warm saltwater gargle; avoid allergens,difficulty breathing
symptom_135,eye discharge,0-3 months,UTI; migraine; asthma,Acetaminophen; Hydrocortisone cream,rest; humidifier,no urine output >8h
symptom_136,ear pain,13-18 years,dehydration,Acetaminophen; Ibuprofen; Amoxicillin,frequent handwashing; apply moisturizer,difficulty breathing
symptom_137,ear pain,1-3 years,sinusitis,Ondansetron,humidifier,projectile vomiting; severe pain
symptom_138,rash,7-12 years,gastroenteritis; strep throat,Hydrocortisone cream; Ibuprofen,avoid allergens,rash with fever; persistent high fever
symptom_139,diarrhea,7-12 years,functional abdominal pain; allergic reaction,Oral Rehydration Solution; Azithromycin,humidifier; avoid allergens,stiff neck; difficulty breathing; severe pain
symptom_140,rash,13-18 years,covid-19; pneumonia,Oral Rehydration Solution; Ondansetron,warm saltwater gargle,persistent high fever; loss of consciousness
symptom_141,shortness of breath,7-12 years,gastroenteritis,,cool compresses,projectile vomiting; stiff neck; persistent high fever
symptom_142,shortness of breath,7-12 years,appendicitis; sinusitis; gastroenteritis,Oral Rehydration Solution; Ibuprofen,increase fluid intake; light clothing,stiff neck; persistent high fever; rash with fever
symptom_143,night sweats,4-6 years,pneumonia; viral infection,Ibuprofen,warm saltwater gargle; increase fluid intake; avoid allergens,no urine output >8h; projectile vomiting
symptom_144,ear pain,0-3 months,migraine; dehydration; covid-19,Ibuprofen; Ondansetron,humidifier,lethargy
symptom_145,weight loss,7-12 years,asthma,,rest,severe pain
symptom_146,night sweats,4-12 months,eczema,Ibuprofen; Cetirizine,light clothing,seizures; projectile vomiting; lethargy
symptom_147,wheezing,0-3 months,eczema; appendicitis,Ibuprofen; Prednisone,frequent handwashing; light clothing; humidifier,seizures
symptom_148,night sweats,7-12 years,appendicitis,Acetaminophen,humidifier,seizures
symptom_149,night sweats,1-3 years,strep throat; eczema; flu,,humidifier,rash with fever
symptom_150,constipation,4-12 months,tonsillitis; sinusitis,Acetaminophen; Oral Rehydration Solution; Amoxicillin,warm saltwater gargle; cool compresses,lethargy
symptom_151,nasal congestion,13-18 years,viral infection,Cetirizine; Amoxicillin,cool compresses; warm saltwater gargle; increase fluid intake,rash with fever; loss of consciousness; seizures
symptom_152,chest pain,4-6 years,sinusitis; meningitis,Acetaminophen,frequent handwashing; cool compresses; humidifier,persistent high fever; loss of consciousness
symptom_153,limping,7-12 years,viral infection; pneumonia,Hydrocortisone cream; Ibuprofen; Ondansetron,rest; cool compresses; humidifier,loss of consciousness
symptom_154,night sweats,7-12 years,tonsillitis; dehydration; functional abdominal pain,,frequent handwashing,loss of consciousness; no urine output >8h
symptom_155,sleep disturbance,1-3 years,allergic reaction; eczema; otitis media,Cetirizine; Albuterol inhaler,warm saltwater gargle; frequent handwashing; apply moisturizer,seizures; projectile vomiting; difficulty breathing
symptom_156,cough,1-3 years,flu; dehydration,Oral Rehydration Solution,rest; warm saltwater gargle,projectile vomiting
symptom_157,fatigue,4-6 years,UTI; sinusitis,Hydrocortisone cream,humidifier; rest; cool compresses,no urine output >8h; seizures
symptom_158,vomiting,4-12 months,bronchiolitis; strep throat,Oral Rehydration Solution; Hydrocortisone cream; Albuterol inhaler,humidifier; avoid allergens; warm saltwater gargle,lethargy
symptom_159,joint pain,0-3 months,pneumonia,Acetaminophen; Cetirizine,apply moisturizer,rash with fever; persistent high fever
symptom_160,vomiting,4-6 years,eczema; viral infection,,increase fluid intake; light clothing,difficulty breathing; rash with fever; lethargy
symptom_161,nasal congestion,4-12 months,strep throat,Hydrocortisone cream,increase fluid intake,seizures
symptom_162,seizures,0-3 months,covid-19; allergic reaction; meningitis,Acetaminophen; Ibuprofen,apply moisturizer; frequent handwashing; increase fluid intake,seizures; rash with fever
symptom_163,loss of appetite,4-12 months,migraine,,apply moisturizer; increase fluid intake; rest,severe pain; stiff neck
symptom_164,limping,4-12 months,dehydration; sinusitis; appendicitis,,warm saltwater gargle,lethargy; seizures; loss of consciousness
symptom_165,cough,4-6 years,functional abdominal pain; allergic reaction,Ondansetron,humidifier; warm saltwater gargle,lethargy
symptom_166,constipation,4-6 years,eczema; asthma,Hydrocortisone cream; Ibuprofen,humidifier,stiff neck
symptom_167,headache,4-6 years,gastroenteritis; pneumonia; otitis media,Ibuprofen,warm saltwater gargle; cool compresses,rash with fever; persistent high fever; no urine output >8h
symptom_168,sleep disturbance,4-6 years,bacterial infection; UTI,Acetaminophen; Azithromycin,increase fluid intake,persistent high fever
symptom_169,fatigue,13-18 years,pneumonia,Amoxicillin,cool compresses; apply moisturizer,loss of consciousness
symptom_170,rash,4-6 years,dehydration; migraine; otitis media,Acetaminophen; Albuterol inhaler,apply moisturizer; humidifier,projectile vomiting
symptom_171,seizures,4-6 years,asthma; strep throat,Ibuprofen; Albuterol inhaler,rest,projectile vomiting; seizures
symptom_172,rash,4-12 months,functional abdominal pain,Cetirizine; Azithromycin,increase fluid intake; avoid allergens,loss of consciousness
symptom_173,shortness of breath,4-12 months,bronchiolitis; gastroenteritis; pneumonia,Acetaminophen; Ondansetron,light clothing; warm saltwater gargle; avoid allergens,projectile vomiting; seizures
symptom_174,limping,4-6 years,functional abdominal pain; strep throat; gastroenteritis,Oral Rehydration Solution; Acetaminophen; Prednisone,avoid allergens; increase fluid intake; cool compresses,stiff neck; no urine output >8h
symptom_175,sleep disturbance,4-6 years,UTI; covid-19; meningitis,,apply moisturizer; frequent handwashing; rest,persistent high fever
symptom_176,limping,4-12 months,pneumonia; UTI; meningitis,Oral Rehydration Solution; Hydrocortisone cream; Amoxicillin,rest; apply moisturizer; warm saltwater gargle,seizures; severe pain; no urine output >8h
symptom_177,headache,1-3 years,otitis media; dehydration,,increase fluid intake,projectile vomiting; rash with fever
symptom_178,loss of appetite,1-3 years,sinusitis; UTI,Oral Rehydration Solution; Cetirizine; Azithromycin,rest,loss of consciousness; projectile vomiting
symptom_179,joint pain,13-18 years,sinusitis; bronchiolitis,Ibuprofen,avoid allergens; rest; cool compresses,no urine output >8h
symptom_180,constipation,7-12 years,allergic reaction; dehydration; sinusitis,Hydrocortisone cream; Cetirizine,frequent handwashing; rest,lethargy; loss of consciousness
symptom_181,weight loss,1-3 years,UTI; bronchiolitis,Hydrocortisone cream; Cetirizine,rest; frequent handwashing; warm saltwater gargle,seizures; loss of consciousness
symptom_182,joint pain,4-6 years,allergic reaction; bacterial infection; functional abdominal pain,Cetirizine,increase fluid intake,stiff neck
symptom_183,weight loss,13-18 years,viral infection; strep throat; otitis media,Oral Rehydration Solution; Cetirizine; Prednisone,apply moisturizer,projectile vomiting
symptom_184,vomiting,7-12 years,appendicitis; dehydration; pneumonia,Ibuprofen; Oral Rehydration Solution; Ondansetron,humidifier,no urine output >8h
symptom_185,nasal congestion,4-12 months,asthma,,light clothing; increase fluid intake,severe pain; rash with fever; loss of consciousness
symptom_186,wheezing,4-6 years,allergic reaction; pneumonia,Hydrocortisone cream,light clothing,lethargy
symptom_187,night sweats,4-12 months,bacterial infection,Acetaminophen; Oral Rehydration Solution,warm saltwater gargle; cool compresses; light clothing,difficulty breathing; lethargy
symptom_188,urinary pain,1-3 years,strep throat; viral infection; tonsillitis,Oral Rehydration Solution; Cetirizine; Ondansetron,light clothing,rash with fever; difficulty breathing
symptom_189,fatigue,1-3 years,tonsillitis; sinusitis; strep throat,,cool compresses; light clothing; rest,persistent high fever; seizures
symptom_190,sleep disturbance,13-18 years,flu; migraine,Ondansetron,humidifier; cool compresses; apply moisturizer,difficulty breathing; no urine output >8h; projectile vomiting
symptom_191,joint pain,4-12 months,eczema; gastroenteritis,Hydrocortisone cream; Azithromycin,light clothing; warm saltwater gargle; apply moisturizer,severe pain; rash with fever; difficulty breathing
symptom_192,loss of appetite,4-12 months,migraine; dehydration; allergic reaction,Acetaminophen; Prednisone,warm saltwater gargle; increase fluid intake,rash with fever
symptom_193,fever,4-6 years,gastroenteritis; functional abdominal pain; appendicitis,Azithromycin,apply moisturizer,lethargy; difficulty breathing; severe pain
symptom_194,difficulty swallowing,13-18 years,gastroenteritis,,rest; humidifier,persistent high fever; no urine output >8h
symptom_195,sore throat,4-6 years,tonsillitis; gastroenteritis,Cetirizine; Acetaminophen; Ondansetron,frequent handwashing,projectile vomiting; seizures; severe pain
symptom_196,seizures,4-12 months,strep throat; dehydration; allergic reaction,Hydrocortisone cream; Albuterol inhaler,light clothing,severe pain; stiff neck; seizures
symptom_197,joint pain,7-12 years,strep throat; tonsillitis; bronchiolitis,Hydrocortisone cream; Ibuprofen; Prednisone,avoid allergens,difficulty breathing; stiff neck; loss of consciousness
symptom_198,night sweats,0-3 months,sinusitis; covid-19,Oral Rehydration Solution; Azithromycin,apply moisturizer,severe pain; no urine output >8h; persistent high fever
symptom_199,loss of appetite,4-12 months,migraine; pneumonia; meningitis,Cetirizine; Hydrocortisone cream,apply moisturizer; humidifier,projectile vomiting; stiff neck
symptom_200,limping,0-3 months,meningitis,Cetirizine; Ibuprofen,light clothing; rest,severe pain
symptom_201,cough,4-12 months,eczema; meningitis; otitis media,Acetaminophen; Hydrocortisone cream; Ondansetron,increase fluid intake,rash with fever; seizures; stiff neck
symptom_202,sore throat,13-18 years,sinusitis; flu; bacterial infection,Ibuprofen; Cetirizine,light clothing; warm saltwater gargle; humidifier,projectile vomiting
symptom_203,sore throat,1-3 years,otitis media; bronchiolitis; dehydration,Ibuprofen; Cetirizine; Amoxicillin,apply moisturizer; humidifier; light clothing,difficulty breathing
symptom_204,sleep disturbance,7-12 years,migraine; strep throat; gastroenteritis,,frequent handwashing; warm saltwater gargle; rest,severe pain; difficulty breathing; seizures
