symptom,age_group,prompt_template,follow_up_questions,diagnosis_list,treatment_otc,treatment_prescription,treatment_home_remedies,treatment_precautions
rash,preschool,Analyze the condition of a preschool child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
difficulty breathing,school-age,Analyze the condition of a school-age child experiencing difficulty breathing. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the difficulty breathing start?', 'Has the child experienced this difficulty breathing before?', 'Are there any other symptoms with the difficulty breathing?']","['Possible diagnosis 1 for difficulty breathing', 'Possible diagnosis 2 for difficulty breathing']",['difficulty breathing-relief medication (OTC)'],['Prescription treatment for difficulty breathing'],"['Home care for difficulty breathing (hydration, rest)']","['Monitor severity of difficulty breathing, seek help if worsens']"
fever,adolescent,Analyze the condition of a adolescent child experiencing fever. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fever start?', 'Has the child experienced this fever before?', 'Are there any other symptoms with the fever?']","['Possible diagnosis 1 for fever', 'Possible diagnosis 2 for fever']",['fever-relief medication (OTC)'],['Prescription treatment for fever'],"['Home care for fever (hydration, rest)']","['Monitor severity of fever, seek help if worsens']"
frequent urination,school-age,Analyze the condition of a school-age child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
runny nose,infant,Analyze the condition of a infant child experiencing runny nose. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the runny nose start?', 'Has the child experienced this runny nose before?', 'Are there any other symptoms with the runny nose?']","['Possible diagnosis 1 for runny nose', 'Possible diagnosis 2 for runny nose']",['runny nose-relief medication (OTC)'],['Prescription treatment for runny nose'],"['Home care for runny nose (hydration, rest)']","['Monitor severity of runny nose, seek help if worsens']"
runny nose,preschool,Analyze the condition of a preschool child experiencing runny nose. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the runny nose start?', 'Has the child experienced this runny nose before?', 'Are there any other symptoms with the runny nose?']","['Possible diagnosis 1 for runny nose', 'Possible diagnosis 2 for runny nose']",['runny nose-relief medication (OTC)'],['Prescription treatment for runny nose'],"['Home care for runny nose (hydration, rest)']","['Monitor severity of runny nose, seek help if worsens']"
bedwetting,preschool,Analyze the condition of a preschool child experiencing bedwetting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the bedwetting start?', 'Has the child experienced this bedwetting before?', 'Are there any other symptoms with the bedwetting?']","['Possible diagnosis 1 for bedwetting', 'Possible diagnosis 2 for bedwetting']",['bedwetting-relief medication (OTC)'],['Prescription treatment for bedwetting'],"['Home care for bedwetting (hydration, rest)']","['Monitor severity of bedwetting, seek help if worsens']"
difficulty breathing,toddler,Analyze the condition of a toddler child experiencing difficulty breathing. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the difficulty breathing start?', 'Has the child experienced this difficulty breathing before?', 'Are there any other symptoms with the difficulty breathing?']","['Possible diagnosis 1 for difficulty breathing', 'Possible diagnosis 2 for difficulty breathing']",['difficulty breathing-relief medication (OTC)'],['Prescription treatment for difficulty breathing'],"['Home care for difficulty breathing (hydration, rest)']","['Monitor severity of difficulty breathing, seek help if worsens']"
limping,infant,Analyze the condition of a infant child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
joint pain,school-age,Analyze the condition of a school-age child experiencing joint pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the joint pain start?', 'Has the child experienced this joint pain before?', 'Are there any other symptoms with the joint pain?']","['Possible diagnosis 1 for joint pain', 'Possible diagnosis 2 for joint pain']",['joint pain-relief medication (OTC)'],['Prescription treatment for joint pain'],"['Home care for joint pain (hydration, rest)']","['Monitor severity of joint pain, seek help if worsens']"
rash,preschool,Analyze the condition of a preschool child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
joint pain,adolescent,Analyze the condition of a adolescent child experiencing joint pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the joint pain start?', 'Has the child experienced this joint pain before?', 'Are there any other symptoms with the joint pain?']","['Possible diagnosis 1 for joint pain', 'Possible diagnosis 2 for joint pain']",['joint pain-relief medication (OTC)'],['Prescription treatment for joint pain'],"['Home care for joint pain (hydration, rest)']","['Monitor severity of joint pain, seek help if worsens']"
rash,infant,Analyze the condition of a infant child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
fatigue,infant,Analyze the condition of a infant child experiencing fatigue. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fatigue start?', 'Has the child experienced this fatigue before?', 'Are there any other symptoms with the fatigue?']","['Possible diagnosis 1 for fatigue', 'Possible diagnosis 2 for fatigue']",['fatigue-relief medication (OTC)'],['Prescription treatment for fatigue'],"['Home care for fatigue (hydration, rest)']","['Monitor severity of fatigue, seek help if worsens']"
limping,adolescent,Analyze the condition of a adolescent child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
fatigue,adolescent,Analyze the condition of a adolescent child experiencing fatigue. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fatigue start?', 'Has the child experienced this fatigue before?', 'Are there any other symptoms with the fatigue?']","['Possible diagnosis 1 for fatigue', 'Possible diagnosis 2 for fatigue']",['fatigue-relief medication (OTC)'],['Prescription treatment for fatigue'],"['Home care for fatigue (hydration, rest)']","['Monitor severity of fatigue, seek help if worsens']"
rash,infant,Analyze the condition of a infant child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
diarrhea,preschool,Analyze the condition of a preschool child experiencing diarrhea. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the diarrhea start?', 'Has the child experienced this diarrhea before?', 'Are there any other symptoms with the diarrhea?']","['Possible diagnosis 1 for diarrhea', 'Possible diagnosis 2 for diarrhea']",['diarrhea-relief medication (OTC)'],['Prescription treatment for diarrhea'],"['Home care for diarrhea (hydration, rest)']","['Monitor severity of diarrhea, seek help if worsens']"
sore throat,adolescent,Analyze the condition of a adolescent child experiencing sore throat. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the sore throat start?', 'Has the child experienced this sore throat before?', 'Are there any other symptoms with the sore throat?']","['Possible diagnosis 1 for sore throat', 'Possible diagnosis 2 for sore throat']",['sore throat-relief medication (OTC)'],['Prescription treatment for sore throat'],"['Home care for sore throat (hydration, rest)']","['Monitor severity of sore throat, seek help if worsens']"
frequent urination,adolescent,Analyze the condition of a adolescent child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
abdominal pain,infant,Analyze the condition of a infant child experiencing abdominal pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the abdominal pain start?', 'Has the child experienced this abdominal pain before?', 'Are there any other symptoms with the abdominal pain?']","['Possible diagnosis 1 for abdominal pain', 'Possible diagnosis 2 for abdominal pain']",['abdominal pain-relief medication (OTC)'],['Prescription treatment for abdominal pain'],"['Home care for abdominal pain (hydration, rest)']","['Monitor severity of abdominal pain, seek help if worsens']"
ear pain,infant,Analyze the condition of a infant child experiencing ear pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the ear pain start?', 'Has the child experienced this ear pain before?', 'Are there any other symptoms with the ear pain?']","['Possible diagnosis 1 for ear pain', 'Possible diagnosis 2 for ear pain']",['ear pain-relief medication (OTC)'],['Prescription treatment for ear pain'],"['Home care for ear pain (hydration, rest)']","['Monitor severity of ear pain, seek help if worsens']"
headache,preschool,Analyze the condition of a preschool child experiencing headache. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the headache start?', 'Has the child experienced this headache before?', 'Are there any other symptoms with the headache?']","['Possible diagnosis 1 for headache', 'Possible diagnosis 2 for headache']",['headache-relief medication (OTC)'],['Prescription treatment for headache'],"['Home care for headache (hydration, rest)']","['Monitor severity of headache, seek help if worsens']"
bedwetting,school-age,Analyze the condition of a school-age child experiencing bedwetting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the bedwetting start?', 'Has the child experienced this bedwetting before?', 'Are there any other symptoms with the bedwetting?']","['Possible diagnosis 1 for bedwetting', 'Possible diagnosis 2 for bedwetting']",['bedwetting-relief medication (OTC)'],['Prescription treatment for bedwetting'],"['Home care for bedwetting (hydration, rest)']","['Monitor severity of bedwetting, seek help if worsens']"
limping,toddler,Analyze the condition of a toddler child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
constipation,adolescent,Analyze the condition of a adolescent child experiencing constipation. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the constipation start?', 'Has the child experienced this constipation before?', 'Are there any other symptoms with the constipation?']","['Possible diagnosis 1 for constipation', 'Possible diagnosis 2 for constipation']",['constipation-relief medication (OTC)'],['Prescription treatment for constipation'],"['Home care for constipation (hydration, rest)']","['Monitor severity of constipation, seek help if worsens']"
frequent urination,adolescent,Analyze the condition of a adolescent child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
sore throat,toddler,Analyze the condition of a toddler child experiencing sore throat. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the sore throat start?', 'Has the child experienced this sore throat before?', 'Are there any other symptoms with the sore throat?']","['Possible diagnosis 1 for sore throat', 'Possible diagnosis 2 for sore throat']",['sore throat-relief medication (OTC)'],['Prescription treatment for sore throat'],"['Home care for sore throat (hydration, rest)']","['Monitor severity of sore throat, seek help if worsens']"
frequent urination,toddler,Analyze the condition of a toddler child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
ear pain,toddler,Analyze the condition of a toddler child experiencing ear pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the ear pain start?', 'Has the child experienced this ear pain before?', 'Are there any other symptoms with the ear pain?']","['Possible diagnosis 1 for ear pain', 'Possible diagnosis 2 for ear pain']",['ear pain-relief medication (OTC)'],['Prescription treatment for ear pain'],"['Home care for ear pain (hydration, rest)']","['Monitor severity of ear pain, seek help if worsens']"
sore throat,preschool,Analyze the condition of a preschool child experiencing sore throat. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the sore throat start?', 'Has the child experienced this sore throat before?', 'Are there any other symptoms with the sore throat?']","['Possible diagnosis 1 for sore throat', 'Possible diagnosis 2 for sore throat']",['sore throat-relief medication (OTC)'],['Prescription treatment for sore throat'],"['Home care for sore throat (hydration, rest)']","['Monitor severity of sore throat, seek help if worsens']"
joint pain,adolescent,Analyze the condition of a adolescent child experiencing joint pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the joint pain start?', 'Has the child experienced this joint pain before?', 'Are there any other symptoms with the joint pain?']","['Possible diagnosis 1 for joint pain', 'Possible diagnosis 2 for joint pain']",['joint pain-relief medication (OTC)'],['Prescription treatment for joint pain'],"['Home care for joint pain (hydration, rest)']","['Monitor severity of joint pain, seek help if worsens']"
frequent urination,preschool,Analyze the condition of a preschool child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
joint pain,toddler,Analyze the condition of a toddler child experiencing joint pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the joint pain start?', 'Has the child experienced this joint pain before?', 'Are there any other symptoms with the joint pain?']","['Possible diagnosis 1 for joint pain', 'Possible diagnosis 2 for joint pain']",['joint pain-relief medication (OTC)'],['Prescription treatment for joint pain'],"['Home care for joint pain (hydration, rest)']","['Monitor severity of joint pain, seek help if worsens']"
limping,adolescent,Analyze the condition of a adolescent child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
limping,school-age,Analyze the condition of a school-age child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
fatigue,infant,Analyze the condition of a infant child experiencing fatigue. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fatigue start?', 'Has the child experienced this fatigue before?', 'Are there any other symptoms with the fatigue?']","['Possible diagnosis 1 for fatigue', 'Possible diagnosis 2 for fatigue']",['fatigue-relief medication (OTC)'],['Prescription treatment for fatigue'],"['Home care for fatigue (hydration, rest)']","['Monitor severity of fatigue, seek help if worsens']"
headache,adolescent,Analyze the condition of a adolescent child experiencing headache. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the headache start?', 'Has the child experienced this headache before?', 'Are there any other symptoms with the headache?']","['Possible diagnosis 1 for headache', 'Possible diagnosis 2 for headache']",['headache-relief medication (OTC)'],['Prescription treatment for headache'],"['Home care for headache (hydration, rest)']","['Monitor severity of headache, seek help if worsens']"
headache,school-age,Analyze the condition of a school-age child experiencing headache. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the headache start?', 'Has the child experienced this headache before?', 'Are there any other symptoms with the headache?']","['Possible diagnosis 1 for headache', 'Possible diagnosis 2 for headache']",['headache-relief medication (OTC)'],['Prescription treatment for headache'],"['Home care for headache (hydration, rest)']","['Monitor severity of headache, seek help if worsens']"
bedwetting,toddler,Analyze the condition of a toddler child experiencing bedwetting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the bedwetting start?', 'Has the child experienced this bedwetting before?', 'Are there any other symptoms with the bedwetting?']","['Possible diagnosis 1 for bedwetting', 'Possible diagnosis 2 for bedwetting']",['bedwetting-relief medication (OTC)'],['Prescription treatment for bedwetting'],"['Home care for bedwetting (hydration, rest)']","['Monitor severity of bedwetting, seek help if worsens']"
abdominal pain,preschool,Analyze the condition of a preschool child experiencing abdominal pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the abdominal pain start?', 'Has the child experienced this abdominal pain before?', 'Are there any other symptoms with the abdominal pain?']","['Possible diagnosis 1 for abdominal pain', 'Possible diagnosis 2 for abdominal pain']",['abdominal pain-relief medication (OTC)'],['Prescription treatment for abdominal pain'],"['Home care for abdominal pain (hydration, rest)']","['Monitor severity of abdominal pain, seek help if worsens']"
frequent urination,infant,Analyze the condition of a infant child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
fatigue,infant,Analyze the condition of a infant child experiencing fatigue. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fatigue start?', 'Has the child experienced this fatigue before?', 'Are there any other symptoms with the fatigue?']","['Possible diagnosis 1 for fatigue', 'Possible diagnosis 2 for fatigue']",['fatigue-relief medication (OTC)'],['Prescription treatment for fatigue'],"['Home care for fatigue (hydration, rest)']","['Monitor severity of fatigue, seek help if worsens']"
frequent urination,adolescent,Analyze the condition of a adolescent child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
fever,adolescent,Analyze the condition of a adolescent child experiencing fever. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fever start?', 'Has the child experienced this fever before?', 'Are there any other symptoms with the fever?']","['Possible diagnosis 1 for fever', 'Possible diagnosis 2 for fever']",['fever-relief medication (OTC)'],['Prescription treatment for fever'],"['Home care for fever (hydration, rest)']","['Monitor severity of fever, seek help if worsens']"
frequent urination,adolescent,Analyze the condition of a adolescent child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
joint pain,infant,Analyze the condition of a infant child experiencing joint pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the joint pain start?', 'Has the child experienced this joint pain before?', 'Are there any other symptoms with the joint pain?']","['Possible diagnosis 1 for joint pain', 'Possible diagnosis 2 for joint pain']",['joint pain-relief medication (OTC)'],['Prescription treatment for joint pain'],"['Home care for joint pain (hydration, rest)']","['Monitor severity of joint pain, seek help if worsens']"
diarrhea,toddler,Analyze the condition of a toddler child experiencing diarrhea. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the diarrhea start?', 'Has the child experienced this diarrhea before?', 'Are there any other symptoms with the diarrhea?']","['Possible diagnosis 1 for diarrhea', 'Possible diagnosis 2 for diarrhea']",['diarrhea-relief medication (OTC)'],['Prescription treatment for diarrhea'],"['Home care for diarrhea (hydration, rest)']","['Monitor severity of diarrhea, seek help if worsens']"
constipation,preschool,Analyze the condition of a preschool child experiencing constipation. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the constipation start?', 'Has the child experienced this constipation before?', 'Are there any other symptoms with the constipation?']","['Possible diagnosis 1 for constipation', 'Possible diagnosis 2 for constipation']",['constipation-relief medication (OTC)'],['Prescription treatment for constipation'],"['Home care for constipation (hydration, rest)']","['Monitor severity of constipation, seek help if worsens']"
abdominal pain,school-age,Analyze the condition of a school-age child experiencing abdominal pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the abdominal pain start?', 'Has the child experienced this abdominal pain before?', 'Are there any other symptoms with the abdominal pain?']","['Possible diagnosis 1 for abdominal pain', 'Possible diagnosis 2 for abdominal pain']",['abdominal pain-relief medication (OTC)'],['Prescription treatment for abdominal pain'],"['Home care for abdominal pain (hydration, rest)']","['Monitor severity of abdominal pain, seek help if worsens']"
wheezing,toddler,Analyze the condition of a toddler child experiencing wheezing. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the wheezing start?', 'Has the child experienced this wheezing before?', 'Are there any other symptoms with the wheezing?']","['Possible diagnosis 1 for wheezing', 'Possible diagnosis 2 for wheezing']",['wheezing-relief medication (OTC)'],['Prescription treatment for wheezing'],"['Home care for wheezing (hydration, rest)']","['Monitor severity of wheezing, seek help if worsens']"
constipation,adolescent,Analyze the condition of a adolescent child experiencing constipation. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the constipation start?', 'Has the child experienced this constipation before?', 'Are there any other symptoms with the constipation?']","['Possible diagnosis 1 for constipation', 'Possible diagnosis 2 for constipation']",['constipation-relief medication (OTC)'],['Prescription treatment for constipation'],"['Home care for constipation (hydration, rest)']","['Monitor severity of constipation, seek help if worsens']"
joint pain,toddler,Analyze the condition of a toddler child experiencing joint pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the joint pain start?', 'Has the child experienced this joint pain before?', 'Are there any other symptoms with the joint pain?']","['Possible diagnosis 1 for joint pain', 'Possible diagnosis 2 for joint pain']",['joint pain-relief medication (OTC)'],['Prescription treatment for joint pain'],"['Home care for joint pain (hydration, rest)']","['Monitor severity of joint pain, seek help if worsens']"
difficulty breathing,preschool,Analyze the condition of a preschool child experiencing difficulty breathing. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the difficulty breathing start?', 'Has the child experienced this difficulty breathing before?', 'Are there any other symptoms with the difficulty breathing?']","['Possible diagnosis 1 for difficulty breathing', 'Possible diagnosis 2 for difficulty breathing']",['difficulty breathing-relief medication (OTC)'],['Prescription treatment for difficulty breathing'],"['Home care for difficulty breathing (hydration, rest)']","['Monitor severity of difficulty breathing, seek help if worsens']"
